trip_id,route_id,direction_id,stop_id,next_stop_id,segment_id,stop_sequence,tod_min,dep_tod_min_mod,travel_time_min,dist_m
2A_D0_T020,2A,0,HT_115,HT_110,HT_115->HT_110,10,555.0,555.0,3.0,355.4914927126207
2A_D0_T020,2A,0,HT_110,HT_111,HT_110->HT_111,11,558.0,558.0,1.0,489.4173089442673
2A_D0_T020,2A,0,HT_111,HT_112,HT_111->HT_112,12,559.0,559.0,2.0,524.6009096261446
2A_D0_T020,2A,0,HT_112,HT_213,HT_112->HT_213,13,561.0,561.0,1.0,286.70477084473055
2A_D0_T020,2A,0,HT_213,HT_089,HT_213->HT_089,14,562.0,562.0,3.0,275.5936740217007
2A_D0_T020,2A,0,HT_089,HT_162,HT_089->HT_162,15,565.0,565.0,2.0,1348.564099095273
2A_D0_T020,2A,0,HT_162,HT_205,HT_162->HT_205,16,567.0,567.0,4.0,1424.1083155458577
2A_D0_T020,2A,0,HT_205,HT_170,HT_205->HT_170,17,571.0,571.0,2.0,556.7940721946112
2A_D0_T020,2A,0,HT_170,HT_045,HT_170->HT_045,18,573.0,573.0,2.0,385.8136039822722
2A_D0_T020,2A,0,HT_045,HT_030,HT_045->HT_030,19,575.0,575.0,1.0,507.89582354847795
2A_D0_T020,2A,0,HT_030,HT_201,HT_030->HT_201,20,576.0,576.0,1.0,331.2009133454766
2A_D0_T020,2A,0,HT_201,HT_154,HT_201->HT_154,21,577.0,577.0,1.0,3810.61864048991
2A_D0_T020,2A,0,HT_154,HT_153,HT_154->HT_153,22,578.0,578.0,1.0,4207.027895809453
2A_D0_T020,2A,0,HT_153,HT_013,HT_153->HT_013,23,579.0,579.0,2.0,632.4285019720276
2A_D0_T020,2A,0,HT_013,HT_048,HT_013->HT_048,24,581.0,581.0,2.0,661.7346884160944
2A_D0_T020,2A,0,HT_048,HT_183,HT_048->HT_183,25,583.0,583.0,2.0,764.2459410846355
2A_D0_T020,2A,0,HT_183,HT_064,HT_183->HT_064,26,585.0,585.0,2.0,3572.0221276221964
2A_D0_T020,2A,0,HT_064,HT_004,HT_064->HT_004,27,587.0,587.0,2.0,4162.364346932194
2A_D0_T020,2A,0,HT_004,HT_077,HT_004->HT_077,28,589.0,589.0,1.0,7472.777211191565
2A_D0_T020,2A,0,HT_077,HT_235,HT_077->HT_235,29,590.0,590.0,3.0,9155.531068522061
2A_D0_T020,2A,0,HT_235,HT_038,HT_235->HT_038,30,593.0,593.0,1.0,1224.7585858408772
2A_D0_T020,2A,0,HT_038,HT_077,HT_038->HT_077,31,594.0,594.0,3.0,8083.514811843999
2A_D0_T020,2A,0,HT_077,HT_168,HT_077->HT_168,32,597.0,597.0,3.0,7987.23896905524
2A_D0_T020,2A,0,HT_168,HT_024,HT_168->HT_024,33,600.0,600.0,1.0,329.7143162873189
2A_D0_T020,2A,0,HT_024,HT_194,HT_024->HT_194,34,601.0,601.0,1.0,549.1837445508238
2A_D0_T020,2A,0,HT_194,HT_093,HT_194->HT_093,35,602.0,602.0,1.0,340.47727738871885
2A_D0_T020,2A,0,HT_093,HT_261,HT_093->HT_261,36,603.0,603.0,3.0,907.4055359813601
2A_D0_T020,2A,0,HT_261,HT_167,HT_261->HT_167,37,606.0,606.0,1.0,265.09766244700586
2A_D0_T020,2A,0,HT_167,HT_211,HT_167->HT_211,38,607.0,607.0,3.0,1514.9036317627479
2A_D0_T020,2A,0,HT_211,HT_167,HT_211->HT_167,39,610.0,610.0,2.0,1514.9036317627479
2A_D0_T021,2A,0,HT_119,HT_247,HT_119->HT_247,2,548.0,548.0,3.0,786.5138552047989
2A_D0_T021,2A,0,HT_247,HT_119,HT_247->HT_119,3,551.0,551.0,3.0,786.5138552047989
2A_D0_T021,2A,0,HT_119,HT_119,HT_119->HT_119,4,554.0,554.0,3.0,0.0
2A_D0_T021,2A,0,HT_119,HT_087,HT_119->HT_087,5,557.0,557.0,3.0,1508.035735182472
2A_D0_T021,2A,0,HT_087,HT_001,HT_087->HT_001,6,560.0,560.0,3.0,1317.3338472263626
2A_D0_T021,2A,0,HT_001,HT_077,HT_001->HT_077,7,563.0,563.0,2.0,9114.960753828795
2A_D0_T021,2A,0,HT_077,HT_114,HT_077->HT_114,8,565.0,565.0,1.0,9220.989634180785
2A_D0_T021,2A,0,HT_114,HT_115,HT_114->HT_115,9,566.0,566.0,1.0,326.14955245357993
2A_D0_T021,2A,0,HT_115,HT_110,HT_115->HT_110,10,567.0,567.0,3.0,355.4914927126207
2A_D0_T021,2A,0,HT_110,HT_111,HT_110->HT_111,11,570.0,570.0,1.0,489.4173089442673
2A_D0_T021,2A,0,HT_111,HT_112,HT_111->HT_112,12,571.0,571.0,2.0,524.6009096261446
2A_D0_T021,2A,0,HT_112,HT_213,HT_112->HT_213,13,573.0,573.0,1.0,286.70477084473055
2A_D0_T021,2A,0,HT_213,HT_089,HT_213->HT_089,14,574.0,574.0,3.0,275.5936740217007
